Episode,Pieces,WallHits,Reward,FixedUpdateCount
798,0,1,-0.2,798000
799,0,1,-0.2,799000
800,0,0,0,800000
801,0,0,0,801000
802,0,0,0,802000
803,0,0,0,803000
804,0,1,-0.2,804000
805,0,0,0,805000
806,0,0,0,806000
807,0,0,0,807000
808,0,0,0,808000
809,0,2,-0.4,809000
810,0,0,0,810000
811,0,0,0,811000
812,0,0,0,812000
813,0,0,0,813000
814,0,0,0,814000
815,0,0,0,815000
816,0,0,0,816000
817,0,6,-1.2,817000
818,0,7,-1.4,818000
819,0,0,0,819000
820,0,0,0,820000
821,0,0,0,821000
822,0,0,0,822000
823,0,0,0,823000
824,0,0,0,824000
825,-1,7,-2.4,825000
826,0,0,0,826000
827,0,0,0,827000
828,0,0,0,828000
829,0,0,0,829000
830,0,0,0,830000
831,0,0,0,831000
832,0,0,0,832000
833,0,0,0,833000
834,0,0,0,834000
835,0,3,-0.6,835000
836,0,2,-0.4,836000
837,0,0,0,837000
838,0,0,0,838000
839,0,0,0,839000
840,0,0,0,840000
841,0,0,0,841000
842,0,0,0,842000
843,0,0,0,843000
844,0,0,0,844000
845,0,6,-1.2,845000
846,0,0,0,846000
847,0,1,-0.2,847000
848,0,0,0,848000
849,0,0,0,849000
850,0,0,0,850000
851,0,0,0,851000
852,0,0,0,852000
853,0,0,0,853000
854,0,5,-1,854000
855,0,0,0,855000
856,0,3,-0.6,856000
857,0,0,0,857000
858,0,0,0,858000
859,0,0,0,859000
860,0,2,-0.4,860000
861,0,11,-2.2,861000
862,0,0,0,862000
863,0,2,-0.4,863000
864,0,0,0,864000
865,0,0,0,865000
866,0,1,-0.2,866000
867,0,0,0,867000
868,0,6,-1.2,868000
869,0,0,0,869000
870,0,1,-0.2,870000
871,0,0,0,871000
872,0,3,-0.6,872000
873,0,7,-1.4,873000
874,0,0,0,874000
875,0,2,-0.4,875000
876,0,0,0,876000
877,0,1,-0.2,877000
878,0,0,0,878000
879,0,0,0,879000
880,0,3,-0.6,880000
881,0,1,-0.2,881000
882,0,0,0,882000
883,0,0,0,883000
884,0,0,0,884000
885,0,2,-0.4,885000
886,0,0,0,886000
887,0,0,0,887000
888,0,2,-0.4,888000
889,0,0,0,889000
890,0,10,-2,890000
891,0,0,0,891000
892,0,0,0,892000
893,1,0,1,893000
894,0,0,0,894000
895,0,0,0,895000
896,0,0,0,896000
897,0,0,0,897000
898,0,0,0,898000
899,0,3,-0.6,899000
900,0,3,-0.6,900000
901,0,0,0,901000
902,0,3,-0.6,902000
903,0,0,0,903000
904,0,0,0,904000
905,0,4,-0.8,905000
906,0,4,-0.8,906000
907,0,0,0,907000
908,0,0,0,908000
909,0,0,0,909000
910,0,0,0,910000
911,0,0,0,911000
912,0,0,0,912000
913,0,0,0,913000
914,0,0,0,914000
915,0,0,0,915000
916,-1,11,-3.2,916000
917,0,0,0,917000
918,0,0,0,918000
919,0,0,0,919000
920,0,0,0,920000
921,0,0,0,921000
922,0,3,-0.6,922000
923,0,1,-0.2,923000
924,0,1,-0.2,924000
925,0,0,0,925000
926,0,0,0,926000
927,0,0,0,927000
928,0,0,0,928000
929,0,0,0,929000
930,0,0,0,930000
931,0,0,0,931000
932,0,0,0,932000
933,0,0,0,933000
934,0,0,0,934000
935,0,0,0,935000
936,0,0,0,936000
937,0,0,0,937000
938,0,0,0,938000
939,0,0,0,939000
940,0,0,0,940000
941,0,0,0,941000
942,0,0,0,942000
943,0,0,0,943000
944,0,2,-0.4,944000
945,0,0,0,945000
946,0,0,0,946000
947,0,0,0,947000
948,0,0,0,948000
949,0,0,0,949000
950,0,1,-0.2,950000
951,0,0,0,951000
952,0,0,0,952000
953,0,1,-0.2,953000
954,0,0,0,954000
955,0,0,0,955000
956,0,0,0,956000
957,0,0,0,957000
958,0,0,0,958000
959,0,0,0,959000
960,0,0,0,960000
961,0,0,0,961000
962,0,1,-0.2,962000
963,0,0,0,963000
964,0,0,0,964000
965,0,0,0,965000
966,0,0,0,966000
967,0,0,0,967000
968,0,0,0,968000
969,0,0,0,969000
970,0,0,0,970000
971,0,10,-2,971000
972,0,0,0,972000
973,0,1,-0.2,973000
974,-1,3,-1.6,974000
975,0,0,0,975000
976,0,0,0,976000
977,0,0,0,977000
978,0,0,0,978000
979,0,0,0,979000
980,0,11,-2.2,980000
981,0,0,0,981000
982,0,0,0,982000
983,0,0,0,983000
984,0,0,0,984000
985,0,0,0,985000
986,0,0,0,986000
987,0,0,0,987000
988,0,0,0,988000
989,0,0,0,989000
990,0,0,0,990000
991,0,0,0,991000
992,0,2,-0.4,992000
993,0,0,0,993000
994,-1,5,-2,994000
995,0,8,-1.6,995000
996,0,0,0,996000
997,0,12,-2.4,997000
998,0,0,0,998000
999,0,0,0,999000
1000,0,4,-0.8,1000000
1001,0,0,0,1001000
1002,0,1,-0.2,1002000
1003,0,0,0,1003000
1004,0,0,0,1004000
1005,0,0,0,1005000
1006,0,0,0,1006000
1007,0,0,0,1007000
1008,-1,2,-1.4,1008000
1009,0,4,-0.8,1009000
1010,0,5,-1,1010000
1011,0,2,-0.4,1011000
1012,0,7,-1.4,1012000
1013,0,12,-2.4,1013000
1014,0,0,0,1014000
1015,0,0,0,1015000
1016,0,0,0,1016000
1017,0,0,0,1017000
1018,0,0,0,1018000
1019,0,0,0,1019000
1020,0,5,-1,1020000
1021,0,0,0,1021000
1022,0,0,0,1022000
1023,0,0,0,1023000
1024,0,0,0,1024000
1025,0,0,0,1025000
1026,0,0,0,1026000
1027,0,0,0,1027000
1028,0,9,-1.8,1028000
1029,0,0,0,1029000
1030,0,0,0,1030000
1031,0,0,0,1031000
1032,0,0,0,1032000
1033,0,0,0,1033000
1034,1,0,1,1034000
1035,0,0,0,1035000
1036,0,0,0,1036000
1037,0,0,0,1037000
1038,0,0,0,1038000
1039,0,1,-0.2,1039000
1040,0,0,0,1040000
1041,0,0,0,1041000
1042,0,0,0,1042000
1043,0,19,-3.8,1043000
1044,0,5,-1,1044000
1045,0,0,0,1045000
1046,0,1,-0.2,1046000
1047,1,0,1,1047000
1048,0,0,0,1048000
1049,0,1,-0.2,1049000
1050,0,0,0,1050000
1051,0,0,0,1051000
1052,0,3,-0.6,1052000
1053,0,0,0,1053000
1054,0,0,0,1054000
1055,0,0,0,1055000
1056,0,0,0,1056000
1057,0,0,0,1057000
1058,1,0,1,1058000
1059,0,0,0,1059000
1060,0,0,0,1060000
1061,0,0,0,1061000
1062,0,0,0,1062000
1063,0,0,0,1063000
1064,0,1,-0.2,1064000
